ID,buildingAreaCategory,buildingShape,censusRegion,climateZone,HDD65,HEATPC,HVACUpgrade,insulationUpgrade,MAINCL,MAINHT,MONUSEC,numEmployeesCategory,numFloors,OCCUPYP,OPNWE,OWNTYPE,region,RENWLL,lightingUpgrade,roofConstuction,STUSED,OPEN24,wallConstruction,WHOPPR,WINTYP,WKHRSC,WWR,yrConstructionCategory,EUI
485,3,2,7,2,3318,3,2,2,5,5,4,2,1,100,2,9,3,2,1,5,2,2,4,0,3,3,3,6,30.97933333
497,6,9,7,3,1641,3,1,1,2,2,4,7,1,100,2,2,3,2,1,1,2,2,1,0,3,3,6,6,19.51525641
519,2,2,3,1,5049,3,1,2,1,1,4,3,1,100,2,2,2,2,2,4,2,2,4,0,2,3,3,5,81.808
521,9,4,5,2,3310,3,1,1,3,4,4,10,8,80,1,8,3,2,1,2,1,1,1,0,2,7,4,1,225.8536486
524,5,6,9,3,2519,3,2,2,2,3,1,7,2,100,1,5,4,2,2,5,2,2,1,0,2,4,4,9,72.11206818
528,2,2,5,2,4109,3,0,0,5,5,4,3,1,100,1,2,3,0,0,5,2,2,1,0,2,4,3,10,88.66825
530,3,0,5,3,152,3,2,2,3,3,4,4,2,90,2,9,3,2,1,1,2,2,1,0,1,5,0,4,200.4161429
536,8,2,5,2,2972,3,2,2,2,2,4,10,11,100,2,1,3,2,2,6,2,2,1,0,2,5,3,8,59.43621481
542,9,1,3,1,4676,3,1,2,3,3,4,10,995,78,1,2,2,2,1,6,2,2,2,0,1,5,4,5,82.24198286
545,4,2,9,3,2213,2,2,2,1,1,4,3,2,100,1,2,4,2,2,5,2,2,1,0,2,4,3,8,42.16632
551,2,0,7,2,3095,1,2,2,5,5,4,2,1,100,2,3,3,2,2,5,2,2,3,0,2,3,0,6,12.1688
554,4,1,1,1,4396,2,1,1,2,2,4,5,3,100,1,2,1,2,1,6,2,2,1,3,2,4,3,7,39.90908108
555,6,2,8,1,5131,3,1,2,5,3,4,5,3,100,2,10,4,2,1,6,2,2,1,0,2,4,3,1,39.90735556
556,8,10,3,1,6580,3,1,2,2,4,4,8,3,100,2,8,2,2,2,4,1,2,1,0,3,4,3,2,68.36691905
560,7,9,7,3,723,2,1,2,3,6,4,6,4,98,1,1,3,2,2,6,2,2,5,2,1,4,3,6,49.4599054
564,8,11,3,1,5500,3,1,1,3,2,4,8,3,100,1,2,2,2,1,1,2,2,1,0,2,6,4,6,64.31089383
565,2,2,5,3,391,3,1,2,1,2,4,2,2,100,2,3,3,2,2,4,2,2,1,0,1,3,3,5,17.53033333
