,heatingLevel,buildingAreaCategory,buildingShape,censusRegion,climateZone,ELHT1,HDD65C,HEATPC,HVACUpgrade,insulationUpgrade,MAINHT,MONUSEC,numEmployeesCategory,numFloors,OCCUPYP,OPNWE,OWNTYPE,region,RENWLL,roofConstuction,wallConstruction,WHOPPR,WINTYP,WKHRSC,WWR,yrConstructionCategory
3441,0.0,5,0.0,3,1,2.0,3,3,1.0,1.0,2.0,4,6,5,100.0,1,2,2,2.0,6,1,0.0,2,5,0.0,1
3484,1.0,3,2.0,2,2,1.0,2,3,2.0,2.0,2.0,4,2,2,75.0,1,3,1,1.0,4,3,2.0,1,3,3.0,3
3485,0.0,8,0.0,3,1,2.0,2,3,2.0,2.0,3.0,4,9,995,75.0,1,3,2,2.0,1,1,0.0,3,5,0.0,2
3502,0.0,4,2.0,3,1,2.0,3,3,2.0,2.0,2.0,4,6,1,100.0,2,2,2,2.0,6,3,2.0,2,5,3.0,6
3504,0.0,2,0.0,1,1,2.0,4,2,1.0,2.0,3.0,4,3,3,75.0,2,2,1,2.0,6,4,0.0,2,3,0.0,3
3509,0.0,2,1.0,1,1,2.0,2,3,2.0,2.0,2.0,4,2,3,100.0,1,3,1,2.0,3,4,2.0,2,5,3.0,7
3543,1.0,3,2.0,9,1,1.0,4,3,2.0,2.0,5.0,4,3,2,100.0,2,3,4,2.0,6,1,0.0,2,3,3.0,3
3558,1.0,7,2.0,5,2,1.0,1,3,2.0,2.0,3.0,4,7,7,82.0,2,1,3,2.0,6,1,0.0,2,4,4.0,7
3645,1.0,2,2.0,4,1,1.0,4,2,2.0,2.0,6.0,4,4,2,100.0,2,4,2,2.0,5,1,0.0,3,3,2.0,4
3647,1.0,4,2.0,5,2,1.0,1,3,1.0,2.0,5.0,4,5,3,100.0,2,3,3,2.0,5,1,0.0,2,4,3.0,6
3658,1.0,2,1.0,5,2,1.0,2,3,1.0,2.0,5.0,4,3,2,100.0,2,10,3,2.0,5,4,3.0,1,3,3.0,1
3665,1.0,10,3.0,4,7,2.0,4,3,2.0,2.0,3.0,4,12,9,100.0,1,2,2,2.0,1,2,0.0,2,5,5.0,8
3678,0.0,5,2.0,3,1,2.0,2,3,2.0,2.0,3.0,4,5,3,100.0,2,5,2,2.0,6,1,0.0,1,2,4.0,6
3682,0.0,5,2.0,4,2,2.0,2,3,2.0,2.0,2.0,4,7,1,100.0,1,2,2,2.0,4,1,0.0,3,3,3.0,6
3706,0.0,2,2.0,8,1,2.0,4,3,2.0,2.0,2.0,4,2,3,75.0,2,3,4,2.0,4,4,0.0,3,3,2.0,2
3724,0.0,6,2.0,9,5,2.0,2,3,2.0,2.0,2.0,4,8,2,100.0,1,1,4,2.0,6,3,1.0,2,7,4.0,7
3766,1.0,4,5.0,4,1,2.0,4,3,1.0,1.0,1.0,4,5,2,100.0,2,5,2,1.0,5,4,0.0,2,3,2.0,9
3797,0.0,2,0.0,7,2,2.0,1,3,2.0,2.0,2.0,4,2,1,100.0,2,2,3,2.0,6,1,0.0,1,2,0.0,3
3806,0.0,3,10.0,3,1,2.0,3,3,2.0,2.0,2.0,4,3,1,80.0,1,9,2,2.0,6,3,0.0,2,4,2.0,5
3812,0.0,3,11.0,3,1,2.0,3,2,2.0,2.0,2.0,4,5,3,100.0,1,2,2,2.0,1,3,0.0,2,4,3.0,8
3901,1.0,4,2.0,5,2,1.0,1,3,0.0,0.0,2.0,4,5,2,80.0,2,2,3,0.0,5,5,0.0,2,4,2.0,10
3926,1.0,8,2.0,5,2,1.0,2,3,1.0,2.0,2.0,3,8,9,90.0,2,1,3,2.0,1,6,0.0,2,4,4.0,6
3990,0.0,8,0.0,3,1,2.0,3,3,1.0,2.0,4.0,4,10,995,85.0,1,2,2,2.0,6,2,0.0,2,4,0.0,4
4005,0.0,2,2.0,5,2,2.0,1,2,2.0,2.0,2.0,4,2,2,100.0,1,2,3,2.0,3,4,0.0,2,3,3.0,7
4032,0.0,2,1.0,2,2,2.0,3,2,2.0,2.0,6.0,4,2,3,80.0,1,2,1,2.0,2,4,0.0,2,4,2.0,1
4034,1.0,2,2.0,5,2,1.0,1,3,1.0,2.0,2.0,4,4,1,100.0,2,2,3,2.0,6,1,0.0,2,3,3.0,6
4070,0.0,8,2.0,2,2,2.0,2,3,2.0,2.0,3.0,4,8,8,50.0,1,2,1,2.0,6,2,0.0,2,5,3.0,7
4072,1.0,7,3.0,4,2,1.0,1,3,2.0,2.0,2.0,4,9,2,50.0,2,2,2,2.0,5,1,0.0,2,4,3.0,7
4080,0.0,6,2.0,3,1,2.0,3,3,2.0,2.0,3.0,4,7,3,100.0,1,2,2,2.0,6,1,0.0,2,4,4.0,8
4173,1.0,2,2.0,5,2,1.0,1,3,2.0,2.0,5.0,4,3,1,100.0,1,8,3,2.0,4,4,0.0,2,5,4.0,6
4201,0.0,4,2.0,5,2,2.0,1,3,0.0,0.0,2.0,4,6,1,100.0,1,2,3,0.0,6,8,2.0,1,5,3.0,10
4221,0.0,6,2.0,2,2,2.0,2,3,2.0,2.0,3.0,4,8,1,80.0,2,2,1,2.0,4,1,0.0,2,4,2.0,7
4228,1.0,10,2.0,8,7,2.0,3,3,1.0,2.0,4.0,4,11,995,94.0,1,1,4,2.0,1,3,0.0,2,5,5.0,6
4234,1.0,2,2.0,7,2,1.0,1,2,2.0,2.0,5.0,4,2,1,100.0,2,10,3,2.0,6,1,0.0,2,3,4.0,3
4290,0.0,2,2.0,8,1,2.0,4,3,2.0,2.0,2.0,4,2,1,100.0,1,3,4,2.0,5,3,0.0,2,4,2.0,7
4291,0.0,8,2.0,9,5,2.0,1,3,1.0,2.0,3.0,4,10,6,99.0,1,9,4,2.0,1,3,0.0,1,4,4.0,2
4292,1.0,10,2.0,3,7,1.0,2,3,1.0,2.0,6.0,4,12,995,97.0,1,2,2,2.0,6,3,0.0,2,3,5.0,4
4293,1.0,6,10.0,9,1,1.0,4,3,2.0,2.0,1.0,4,3,1,100.0,2,8,4,2.0,5,3,0.0,3,4,2.0,7
4312,0.0,5,2.0,4,1,1.0,4,2,2.0,2.0,2.0,4,7,3,100.0,1,2,2,2.0,1,1,2.0,2,5,4.0,6
4313,1.0,3,1.0,4,1,2.0,4,3,2.0,2.0,1.0,4,4,2,100.0,1,10,2,2.0,4,1,0.0,2,7,2.0,4
4320,0.0,8,2.0,8,1,2.0,2,3,1.0,2.0,3.0,4,9,10,85.0,2,8,4,2.0,1,1,0.0,2,5,4.0,4
4337,0.0,4,2.0,2,1,2.0,3,3,2.0,2.0,1.0,4,4,2,50.0,1,3,1,2.0,4,1,0.0,2,4,2.0,7
4364,1.0,5,2.0,5,2,1.0,2,3,0.0,0.0,5.0,1,6,3,40.0,2,2,3,0.0,6,2,0.0,2,4,3.0,10
4367,0.0,6,11.0,3,1,2.0,1,3,2.0,2.0,3.0,4,6,5,90.0,2,10,2,2.0,6,3,0.0,2,4,5.0,5
4390,0.0,2,2.0,8,1,2.0,4,3,2.0,2.0,2.0,4,3,1,100.0,2,3,4,2.0,5,5,1.0,3,3,1.0,7
4429,1.0,8,0.0,5,2,1.0,1,2,0.0,0.0,2.0,4,8,994,75.0,2,1,3,0.0,4,6,0.0,3,4,0.0,10
4534,1.0,2,0.0,6,2,2.0,1,3,2.0,2.0,2.0,4,3,2,100.0,2,3,3,2.0,6,1,2.0,2,3,0.0,1
4628,1.0,2,2.0,5,2,1.0,1,2,1.0,1.0,6.0,4,2,3,100.0,1,3,3,2.0,4,3,0.0,1,4,3.0,2
4670,0.0,2,2.0,3,1,1.0,2,3,2.0,2.0,3.0,4,5,2,100.0,1,2,2,2.0,6,1,0.0,2,4,2.0,2
4675,0.0,3,2.0,2,1,2.0,2,3,2.0,2.0,2.0,4,4,1,85.0,1,3,1,2.0,4,4,0.0,2,4,2.0,7
4676,0.0,7,0.0,3,1,2.0,2,3,2.0,2.0,3.0,4,6,8,30.0,1,1,2,2.0,6,1,0.0,3,4,0.0,1
4707,0.0,2,2.0,2,2,2.0,2,3,2.0,2.0,3.0,4,2,3,75.0,1,3,1,2.0,4,4,0.0,1,4,1.0,2
4772,0.0,7,2.0,2,1,2.0,3,2,2.0,2.0,3.0,4,7,3,100.0,2,2,1,2.0,6,6,1.0,2,3,4.0,8
4873,1.0,2,2.0,4,2,1.0,1,3,2.0,2.0,2.0,4,4,2,75.0,1,2,2,2.0,5,1,0.0,2,4,2.0,8
4875,1.0,3,1.0,9,1,1.0,4,3,2.0,2.0,6.0,4,4,2,100.0,2,10,4,2.0,4,1,0.0,2,3,1.0,4
4876,0.0,5,2.0,3,1,2.0,2,3,2.0,2.0,2.0,4,6,2,100.0,2,2,2,2.0,6,2,0.0,2,4,2.0,7
4883,0.0,7,2.0,2,2,2.0,2,3,2.0,2.0,3.0,4,7,11,30.0,2,2,1,2.0,6,6,0.0,2,4,6.0,5
4900,0.0,3,1.0,2,1,2.0,4,3,1.0,2.0,3.0,4,3,3,100.0,2,3,1,2.0,4,1,0.0,2,4,1.0,1
4906,1.0,2,1.0,1,1,1.0,3,3,2.0,2.0,2.0,4,3,1,100.0,2,2,1,2.0,6,1,0.0,2,4,4.0,9
4910,1.0,7,2.0,3,1,1.0,2,3,2.0,2.0,2.0,4,8,4,85.0,1,2,2,2.0,6,1,0.0,2,5,3.0,6
4925,1.0,2,2.0,9,1,1.0,4,3,1.0,2.0,2.0,4,5,1,100.0,1,2,4,2.0,5,4,0.0,3,5,1.0,4
4926,0.0,2,2.0,4,1,2.0,4,2,1.0,1.0,2.0,4,2,3,100.0,2,3,2,2.0,4,1,0.0,3,2,3.0,1
4983,0.0,2,2.0,8,1,2.0,4,3,1.0,1.0,2.0,4,2,2,100.0,1,3,4,1.0,2,4,0.0,3,3,2.0,1
5031,1.0,2,2.0,2,1,1.0,4,3,2.0,2.0,6.0,4,3,3,100.0,2,2,1,1.0,6,1,0.0,1,3,2.0,1
5034,1.0,9,11.0,2,2,2.0,3,3,1.0,2.0,4.0,4,10,995,100.0,1,1,1,2.0,1,1,0.0,2,7,6.0,6
5038,1.0,8,2.0,1,1,1.0,4,3,1.0,2.0,3.0,4,8,4,100.0,2,3,1,2.0,6,7,0.0,3,3,2.0,6
5077,1.0,7,1.0,2,1,1.0,2,3,1.0,2.0,5.0,4,8,4,75.0,2,2,1,2.0,6,2,0.0,2,4,3.0,6
5100,1.0,6,2.0,2,1,1.0,2,3,2.0,2.0,2.0,4,7,5,75.0,1,2,1,2.0,4,3,0.0,2,4,4.0,7
5135,0.0,6,9.0,3,1,2.0,3,3,1.0,2.0,4.0,4,7,4,95.0,2,6,2,2.0,1,3,0.0,1,4,3.0,5
5145,1.0,7,2.0,7,2,2.0,1,2,2.0,2.0,6.0,4,8,3,85.0,1,2,3,2.0,6,2,0.0,2,5,2.0,8
5151,0.0,2,0.0,3,1,2.0,2,3,1.0,2.0,2.0,4,3,1,100.0,1,2,2,2.0,1,1,0.0,2,4,0.0,3
5153,0.0,5,2.0,5,2,1.0,1,3,2.0,2.0,2.0,4,5,1,75.0,1,10,3,2.0,6,1,0.0,3,7,4.0,9
