ID,buildingArea,PAC,Year Built,Number of Buildings,Occupancy,Metered Areas (Energy),ENERGY STAR Score,Site EUI,Weather Normalized Site EUI (kBtu/ft2),Electricity Use - Grid Purchase (kBtu),Weather Normalized Site Electricity (kWh),Property GFA - Self-Reported (ft2),SourceEUI
1616,167210,Office,1912,1,100,Whole Building,28,116.5,119.7,15688122.1,4597925,167228,318.4
1618,95919,Multifamily Housing,1907,1,100,Whole Building,78,67.5,70.3,1919490.8,547115.5,83333,119.1
1619,74195,Multifamily Housing,2010,1,100,Whole Building,9,83.1,85.7,4040985.9,1180744.8,71206,205.8
1620,115433,Office,1929,1,100,Whole Building,67,81.3,84.6,5476507.7,1605072.4,110032,189.4
1621,157364,Multifamily Housing,1986,1,100,Whole Building,100,18.9,19.8,1213757,343128,157364,36
1622,51717,Multifamily Housing,1939,1,100,Whole Building,86,71.3,75.2,644511.8,181651.6,50001,99.4
1623,120545,Multifamily Housing,1962,1,100,Whole Building,28,99.3,98.1,2352230.2,658782.8,87037,160.8
1624,77615,Multifamily Housing,1913,1,100,Whole Building,Not Available,50.1,49.8,1456047.8,419013,84083,87.6
1626,141015,Multifamily Housing,1939,1,100,Whole Building,Not Available,113.6,119.8,3817742.9,1096472.7,131477,180
1627,72112,Multifamily Housing,1910,1,100,Whole Building,Not Available,88,93.5,1706055.3,486419.5,72312,141.7
1628,50795,Multifamily Housing,2002,1,100,Whole Building,6,55.3,53.8,2860923,816312.5,52313,172.3
1629,80977,Multifamily Housing,1963,1,100,Whole Building,33,99.5,102.1,3259780.8,931620.8,80956,188.6
1630,76450,Multifamily Housing,1940,1,100,Whole Building,86,66.7,66.2,1009163.3,284675,76450,96
1631,116586,Multifamily Housing,1974,1,100,Whole Building,93,60.2,Not Available,2094282,Not Available,96500,108.6
1632,152342,Multifamily Housing,1927,1,100,Whole Building,Not Available,82.4,81.7,4515581.5,1290222,156912,144.6
1633,66524,Multifamily Housing,1930,1,95,Whole Building,100,5,4.9,274120.1,78100.5,66524,13.9
1635,57207,Multifamily Housing,1930,1,95,Whole Building,100,23.2,22.5,1282966.6,363512.5,57207,71.3
1636,68879,Multifamily Housing,1904,1,100,Whole Building,36,121.2,126.6,3355406.2,962688.8,75767,219.8
1637,65664,Multifamily Housing,1900,1,100,Whole Building,Not Available,73.4,73.5,3316379,943079.9,68950,177.6
1638,59250,Residence Hall/Dormitory,1923,1,100,Whole Building,81,72.6,80.8,652647.3,186226.8,59250,97.4
1640,628697,Multifamily Housing,1910,1,100,Whole Building,29,89,91.1,26761211.3,7772393.3,603754,186.1
1641,50029,Multifamily Housing,1962,1,100,Whole Building,84,74.4,73.8,914400.3,258932.7,50029,114.2
1642,62586,Multifamily Housing,1935,1,100,Whole Building,59,81,83.2,889833.7,251963,62586,112.2
1645,86280,Multifamily Housing,1925,1,100,Whole Building,74,74.8,82.9,1550371,454387.7,86280,113.9
1646,143991,Mixed Use Property,1912,1,100,Whole Building,Not Available,67.4,71.5,4814982.7,1411190.5,147600,138.9
1647,215254,Multifamily Housing,2011,1,100,Whole Building,72,56.4,58.6,6307192.9,1848532.3,236778,114.9
1649,173491,Office,1925,1,100,Whole Building,86,66.7,70.5,7619559.9,2179720.9,189362,153.1
1650,53361,Other,1900,1,100,Whole Building,Not Available,108.1,108.2,5669057.2,1661505.4,53361,335.6
1653,65240,Residence Hall/Dormitory,1980,1,100,Whole Building,35,110.7,121,1399193,410080,66230,174.1
1654,109132,Residence Hall/Dormitory,1980,1,100,Whole Building,77,67.5,71.2,2331078.4,683199.9,97000,127.6
1655,94331,Office,1929,1,100,Whole Building,96,44.1,43.4,3027235.8,862377.5,94331,112.9
1656,66636,Multifamily Housing,1918,1,100,Whole Building,91,54.5,Not Available,1170769.4,Not Available,77742,87.2
1660,156500,Office,1930,1,100,Whole Building,91,62.9,61.8,6105166.4,1741468.1,153000,149.4
1661,57414,Office,1925,1,100,Whole Building,91,40.1,Not Available,1024006,300118.9,57414,78.5
1662,240534,Office,1920,1,90,Whole Building,83,69.6,70.7,9574396.2,2738529.1,217084,164.2
1663,125042,Office,1920,1,100,Whole Building,94,58.7,63.5,4205547.3,1194300.1,186051,107.5
1664,71541,Hotel,2006,1,100,Whole Building,89,77.2,79,2955723.7,879173.2,80000,158.3
1665,73371,Multifamily Housing,2006,1,100,Whole Building,1,109.9,113.1,3867202.6,1115489.9,58194,254.3
1666,60610,Multifamily Housing,1927,1,100,Whole Building,Not Available,94.8,102.5,956697.5,272935.8,56560,134.9
1667,106960,Office,1928,1,90,Whole Building,90,66.5,70.8,3418228.5,979428.7,98435,141.1
1668,144323,Multifamily Housing,1927,1,100,Whole Building,Not Available,65.3,72,3749279.4,1069220.3,151540,118.7
1669,55000,Office,1927,1,95,Whole Building,98,76.8,84.6,1302330.5,371919.4,55000,128
1670,143845,Other,1928,1,100,Whole Building,Not Available,77.2,80,5753366.1,1641689.6,143845,163.5
1671,127488,Office,1922,1,100,Whole Building,69,110.1,113.6,5981753.4,1706394.1,127000,212.4
1672,77556,Multifamily Housing,1924,1,100,Whole Building,97,31.4,Not Available,Not Available,Not Available,81433,47.4
1673,142801,Office,1925,1,100,Whole Building,61,147.4,160,4638071.8,1324474.8,142801,218
1674,64414,Office,1926,1,100,Whole Building,99,59.1,65.5,1324350.7,373531.4,76355,98.3
1675,94914,Other,1927,1,100,Whole Building,Not Available,53.5,55.9,2720865.3,780593.4,94914,115.1
1677,57241,Multifamily Housing,1927,1,100,Whole Building,88,67,Not Available,266050.1,Not Available,59000,77.2
1678,90174,Office,1928,1,100,Whole Building,67,100.5,113.2,3226387,910439.7,95478,173.5
1679,60397,Office,1926,1,100,Whole Building,Not Available,176.7,186.6,7255101.3,2126348.3,67950,406.1
1680,245542,Parking,1957,1,100,Whole Building,Not Available,14.4,15.2,1982194.2,580947.8,245552,33
1681,332383,Office,1910,1,100,Whole Building,93,50,51.9,12139096.8,3557765.3,352383,126.8
1682,65977,Office,1925,1,100,Whole Building,75,56.8,59,2218643.7,633559.5,65977,129
1683,1048620,Other - Entertainment/Public Assembly,1968,1,100,Whole Building,Not Available,121.8,125.5,91523226.8,26823920.2,1102735,306.5
1684,1560607,Office,1965,1,95,Whole Building,74,88.3,85,81521293.4,23441767.7,1482425,212.8
1685,2689635,Office,1970,1,100,Whole Building,73,139.2,135.4,96215581.4,28199170.5,2462789,236.1
1686,461386,Office,1929,1,100,Whole Building,88,57.9,Not Available,20111517.1,Not Available,548030,136.6
1687,61215,Retail Store,2010,1,100,Whole Building,Not Available,79.7,Not Available,4646165,Not Available,62937,238
1688,491253,Other,1931,1,100,Whole Building,89,62.3,64.3,21104428.7,6052123.1,491000,158.2
1689,84768,Other,1924,1,100,Whole Building,Not Available,55.5,59.1,2026686.7,579073.9,77067,113.2
1690,201307,Hotel,2010,1,100,Whole Building,100,28.2,Not Available,4159191.1,Not Available,236864,66.3
1691,143448,Office,1924,1,100,Whole Building,77,109.2,117.8,4638071.8,1324195.4,150620,175.9
1692,133948,Office,1935,1,100,Whole Building,93,52.3,Not Available,3675117.3,1046376.3,125453,115.2
1694,64773,Office,1924,1,100,Whole Building,Not Available,64,Not Available,1498621.8,Not Available,69046,111.2
1696,243350,Mixed Use Property,1922,1,100,Whole Building,Not Available,70,72,9909782,2821177.1,234132,160.9
1697,114368,Other,1924,1,100,Whole Building,Not Available,66.1,70.1,3184822.6,910384.3,112500,127.1
1698,132118,Office,1924,1,100,Whole Building,88,62,61.1,5565776.6,1597089,132174,152.3
1699,95568,Office,1926,1,100,Whole Building,91,69.8,75.8,3049730.3,875625.8,96440,139.4
1700,144141,Office,1924,1,100,Whole Building,88,61.1,62.8,5342034.4,1526991,150000,137.9
1701,106810,Office,1924,1,100,Whole Building,Not Available,70,Not Available,4837151.2,Not Available,119341,157.3
1702,163681,Multifamily Housing,1921,1,95,Whole Building,13,122.9,122.9,3010300.2,882268.4,163681,163.3
1703,189734,Other,1925,1,100,Whole Building,78,61.9,61.9,10130496.6,2903049.3,180008,182.7
1704,84575,Other,1924,1,100,Whole Building,55,104.7,103.4,4961097.4,1418296.8,89000,225.6
1706,152667,Other,1922,1,100,Whole Building,Not Available,44.9,45.8,5689917.2,1622247.2,183000,111.6
1707,81375,Office,1907,1,100,Whole Building,93,54,58.3,2642491.7,752829.8,94829,114
1708,754487,Office,1926,1,100,Whole Building,88,60.5,62.9,34845629.3,10212668.5,814025,152.5
1710,74100,Multifamily Housing,1925,1,100,Whole Building,94,44.6,Not Available,984070.8,283238.5,78731,72.9
1711,130000,Office,1921,1,100,Whole Building,Not Available,91.1,94.8,7734693.8,2230930.4,130000,218.8
1712,88872,Other,1902,1,100,Whole Building,Not Available,65.2,68.4,3016840.3,884185.2,88872,139.4
1713,842295,Office,1920,1,100,Whole Building,80,68.4,69.4,52235852.5,15055530.9,936037,188
1714,83500,Non-Refrigerated Warehouse,1924,1,100,Whole Building,56,38.7,38.7,490256.6,143686,87675,52.3
1715,130766,Office,1904,1,95,Whole Building,95,47.3,48.6,3614828.2,1035492.6,145720,100.6
1716,139629,Office,1926,1,60,Whole Building,96,30.7,30,5045624.7,1442026.1,164243,96.5
1717,225858,Office,1925,1,100,Whole Building,84,90.5,95.4,8977516.2,2568944.5,235678,172.9
1718,214130,Office,1925,1,100,Whole Building,83,65.3,66.7,8712882.9,2492452.8,205729,156.3
1719,87802,Office,1913,1,100,Whole Building,99,23.9,23.4,2415648.2,692174.3,100972,75.1
1720,64280,Office,1922,1,100,Whole Building,91,57,61.4,2176388.5,626071.6,74079,120.1
1721,163103,Office,1929,1,100,Whole Building,95,56,Not Available,4126659.1,1170769.5,175565,106.6
1722,606078,Office,1930,1,100,Whole Building,77,70.5,76.4,25949969.9,7605500.2,619405,160.4
1723,553748,Office,1930,1,100,Whole Building,84,67.8,73.5,21231794.4,6222682.2,526632,154.4
1724,137887,Office,1929,1,100,Whole Building,96,47.4,49.8,3524801.2,998658.7,157059,95.7
1725,96275,Office,1922,1,100,Whole Building,89,55.6,Not Available,3509864.3,1002733.9,96275,134.4
1726,66073,Office,1924,1,100,Whole Building,89,60.2,64.7,2021825.8,592563.2,66073,127.1
1727,96736,Office,1924,1,100,Whole Building,79,65.4,67.5,4140279,1213446.2,96745,157.2
1728,95491,Office,1924,1,100,Whole Building,98,46.6,49.8,2532718.6,742297.3,95490,103.6
1729,272142,Other,1927,1,100,Whole Building,Not Available,38.1,37.5,10346237.5,2981534.3,272142,119.5
1730,72649,Manufacturing/Industrial Plant,1928,1,100,Whole Building,Not Available,76.7,82.4,2163790.2,620539.9,72679,140.9
1731,146377,Office,1925,1,100,Whole Building,94,49.9,51.7,4342182.5,1229617.5,152439,111
1732,78325,Multifamily Housing,1927,1,100,Whole Building,6,82.9,Not Available,3316464.1,949807,78325,174.3
1733,130010,Office,1924,1,100,Whole Building,Not Available,28.5,28.5,3699972.7,1084399.8,130010,89.4
1734,144635,Office,1920,1,100,Whole Building,79,67.6,68.7,4987262.5,1416530.6,140720,144.5
1735,408130,Office,1919,1,100,Whole Building,70,84.4,Not Available,20143392,5800228.2,322964,218.3
1736,180449,Office,1910,3,100,Whole Building,Not Available,35.6,34.1,5784022,1609806.1,194000,99.7
1737,59488,Office,1926,1,80,Whole Building,92,69.8,71.5,1185778,335061.9,59488,113
1738,81763,Office,1945,1,100,Whole Building,91,68.1,67.3,2272307.9,646300.5,81763,128
1739,181921,Office,1926,1,90,Whole Building,100,11.4,Not Available,2364186.5,Not Available,207895,35.7
1740,154516,Office,1926,1,100,Whole Building,92,62.2,69.5,3917191,1113780.9,163100,114
1741,121520,Other,1925,1,100,Whole Building,Not Available,71.7,75.4,4183074.7,1205701.7,121520,147.2
1742,177975,Non-Refrigerated Warehouse,1925,1,100,Whole Building,Not Available,87.4,93.4,4521348.1,1292000,189958,141.5
1743,108025,Manufacturing/Industrial Plant,1925,1,100,Whole Building,Not Available,53.4,53.1,2387513,687800.7,108025,101.2
1744,218558,Office,1906,1,100,Whole Building,84,75.2,79.6,7154804.5,2031860.1,181568,159.9
1745,88100,Office,1910,1,100,Whole Building,84,52.7,54.3,2849059.9,835011.6,90500,120.3
1746,229162,Office,1922,1,100,Whole Building,43,99.7,101.8,14243889.8,4101667.1,177480,272.4
1747,225981,Office,1924,1,100,Whole Building,Not Available,81.3,84.5,12651507.9,3707944.4,245606,193
1748,146486,Office,1923,1,100,Whole Building,74,77.2,81,7792412.8,2283825.3,166315,179
1749,137199,Other,1923,1,100,Whole Building,63,88.7,91.3,7705665.8,2214156.9,137199,210.6
1750,52524,Office,1924,1,100,Whole Building,Not Available,57.4,Not Available,1653670.9,Not Available,57000,120.9
1751,116100,Office,1927,1,100,Whole Building,54,85.4,Not Available,4908005.1,Not Available,98375,194
1752,371863,Multifamily Housing,1963,1,100,Whole Building,67,58.5,61.5,8540832.5,2416823.2,383000,113.5
1753,55233,Multifamily Housing,1950,1,100,Whole Building,71,75.8,79.6,875233,251682.7,59652,107.8
1754,343534,Multifamily Housing,2001,1,100,Whole Building,Not Available,100.8,104.6,15943943.1,4591723.3,343534,202.8
1755,126134,Multifamily Housing,1938,1,100,Whole Building,71,57.6,61.2,2479787.2,709575.7,144153,96.4
1756,56967,Multifamily Housing,1985,1,100,Whole Building,Not Available,94.1,93.8,2704544.5,787154.4,63162,186.3
1757,195442,Multifamily Housing,1972,1,100,Whole Building,48,91.2,90.5,6297586.9,1814356.5,165939,172.9
1758,62400,Multifamily Housing,1920,1,100,Whole Building,78,68.7,73,1153344.7,328744.4,63500,110.1
1759,196020,Multifamily Housing,1930,1,100,Whole Building,4,88.6,91.9,8554272.3,2467341.8,201901,181.6
1760,53123,Multifamily Housing,1950,1,100,Whole Building,1,187.9,191.5,2538504.1,743992.9,53123,294.6
1761,53298,Multifamily Housing,1909,1,100,Whole Building,Not Available,76.4,78.7,903783.4,256449.2,50911,115.3
1762,64416,Multifamily Housing,1906,1,100,Whole Building,97,34.6,34.2,1535211.4,437041.6,64416,86.1
1764,108689,Multifamily Housing,2002,1,100,Whole Building,Not Available,87.7,93,3108090,881360.2,103830,154.7
1765,63638,Multifamily Housing,1910,1,100,Whole Building,Not Available,60.9,63.5,1804199,517942.2,64000,122.8
1766,99176,Multifamily Housing,2006,1,100,Whole Building,10,62.2,64.2,4489174.4,1297367.7,95000,164
1767,76676,Multifamily Housing,2008,1,100,Whole Building,38,64.3,65.7,3113212.1,892364.9,75687,153.5
1769,52500,Office,1989,1,100,Whole Building,63,77.6,80.4,3222228.6,944381.1,52500,209.8
1770,228000,Office,1900,1,100,Whole Building,68,72.2,75.4,12562734.6,3608370.5,228000,190.3
1771,134235,Office,1904,1,100,Whole Building,44,99.6,103.8,7880253.3,2272174.4,134235,225.6
1773,118000,Multifamily Housing,2006,1,100,Whole Building,79,36.5,37.9,3207540.4,919300.7,123900,92.5
1774,274659,Multifamily Housing,2001,1,100,Whole Building,2,131,Not Available,10890403.3,3105566.1,285803,217.2
1775,68671,Multifamily Housing,1909,1,100,Whole Building,68,54.9,58.4,1148804.9,330408.7,79896,86.1
1776,165513,Other,1901,1,100,Whole Building,Not Available,65.9,67.3,7360793.4,2115821,166000,161.1
1777,76651,Office,1898,1,100,Whole Building,43,79,82.7,5000627.4,1465599.9,106941,180.7
1778,149885,Office,1900,1,100,Whole Building,66,91.7,90.7,9510029,2737652.5,175366,215.3
1779,132282,Multifamily Housing,1903,1,100,Whole Building,19,72.8,75.3,5021677.1,1443069.2,134293,154.6
1780,62158,Multifamily Housing,1938,1,100,Whole Building,Not Available,68.2,67.8,1133480.3,323626.9,62157,107.8
1781,57606,Multifamily Housing,1938,1,100,Whole Building,90,59.6,59.3,804132.5,230405.9,57605,90
1783,51384,College/University,1910,1,100,Whole Building,Not Available,77.3,83.2,2025765.3,582537.1,51384,162.1
1784,77437,College/University,1939,1,100,Whole Building,Not Available,98.1,102.8,5109987.6,1471314.6,77437,239.6
1785,57280,Multifamily Housing,1875,1,100,Whole Building,55,47.4,48.8,1916827.9,552105.6,65849,110.6
1786,121206,Multifamily Housing,2005,1,100,Whole Building,6,55.9,56.4,5979900.4,1724316,131206,155.5
1787,61232,Multifamily Housing,1900,1,100,Whole Building,1,124.7,130.1,1997130,585325.3,67355,192.9
1789,115895,College/University,1940,1,100,Whole Building,Not Available,120.5,123.6,10000732.3,2931046.6,108125,318.8
1790,237000,Medical Office,1901,1,100,Whole Building,59,102.8,106,18498515.3,5421604.1,237000,270.1
1791,89389,Office,1911,1,100,Whole Building,88,55.1,54.3,3053288.2,873785.5,90000,127.9
1792,73611,Office,1910,1,100,Whole Building,69,77.8,82,3907699.2,1145281,79745,182.9
1793,84375,Multifamily Housing,2006,1,100,Whole Building,30,66.6,69.8,2582983.4,731141.5,92813,128.1
1794,63015,Multifamily Housing,1911,1,100,Whole Building,13,84.5,88.5,2163773.5,617730.6,59282,165
1795,75828,Multifamily Housing,1911,1,100,Whole Building,11,69,70,3206917.1,927536.5,67132,172.3
1796,65823,Multifamily Housing,2012,1,100,Whole Building,98,41.7,41.7,859978.5,252045.2,56378,75.7
1797,170000,Retail Store,1910,1,100,Whole Building,19,147.5,Not Available,18824715.1,5399152.1,180000,371.9
1798,127000,Multifamily Housing,1910,1,100,Whole Building,71,64.9,67.7,2781431.9,791945.1,127000,113.9
1799,124597,Multifamily Housing,1973,1,100,Whole Building,63,47.1,48.9,4830126.9,1393070.7,181300,108.3
1800,66937,Multifamily Housing,2008,1,100,Whole Building,84,47.4,49.7,1429219,407198.1,71930,91.3
1801,125560,Multifamily Housing,2008,1,100,Whole Building,20,61.1,63,5094395.3,1493081.7,129326,146.5
1802,58905,Multifamily Housing,2012,1,100,Whole Building,56,63.7,66.8,1209572.7,350816.3,43238,125.4
1804,159606,Multifamily Housing,1978,1,100,Whole Building,Not Available,83.5,88.6,4344067.6,1252421.4,158893,144.8
1805,98800,Office,1967,1,100,Whole Building,14,152.7,161.9,5022946.7,1450684.9,53500,354.2
1806,94835,Multifamily Housing,1958,1,100,Whole Building,100,23.6,23.6,386412.7,112549.6,94835,32.5
1808,59508,Office,1910,1,100,Whole Building,69,100.7,106.4,2310428.9,662262.8,64460,178.7
1810,96000,Office,1911,1,100,Whole Building,88,66.1,67.7,3355238.6,957736.3,96000,142.3
1811,66528,Office,1911,1,100,Whole Building,94,62.6,66.1,1979357,567289.9,66528,126.6
1812,66115,Office,1911,1,100,Whole Building,92,52.1,57,1156025.8,330475.6,66115,89.9
1813,55916,Hotel,2003,1,90,Whole Building,47,102.5,105.4,4058733.5,1205992.5,55916,259.3
1814,84772,Multifamily Housing,1911,1,100,Whole Building,2,95.8,100.2,2912724.1,854948.7,63834,195.9
1815,351608,Multifamily Housing,2008,1,100,Whole Building,21,64.1,66.1,13931320.8,4030255.5,351608,150.1
1816,548680,Office,1931,1,90,Whole Building,61,99.6,105.1,38444232.5,11267358.7,600000,236.6
1817,86027,Office,1911,1,100,Whole Building,Not Available,40.8,Not Available,2542450.4,730519.3,84500,105.3
1819,227896,Multifamily Housing,2001,1,100,Whole Building,20,85.8,89,7515349.8,2129529.6,263760,149.6
1820,97005,Other,1970,1,100,Whole Building,96,42.4,41.9,2486266.9,713406.3,91800,100.5
1821,75888,Office,1913,1,100,Whole Building,75,94.9,97.9,3594022.3,1034093.4,70752,204.6
1822,52543,Multifamily Housing,1911,1,100,Whole Building,Not Available,53.1,56.8,574251.6,165519.5,52422,77.2
1823,80800,Office,1910,1,100,Whole Building,93,48.9,52.5,2238852.7,639962.1,82400,107.3
1824,53439,Multifamily Housing,1922,1,100,Whole Building,93,30.9,30.8,1096709,313684.1,53491,75.3
1825,89762,Residence Hall/Dormitory,1912,1,100,Whole Building,24,143.4,152.5,5514656.6,1616253.2,97500,266.5
1826,179131,Office,1911,1,100,Whole Building,78,67.6,69,7836050.7,2220098.5,179131,161.5
1827,58084,Office,1911,1,100,Whole Building,Not Available,26.1,25.5,1589950.9,455416.6,61000,81.8
1828,92970,Multifamily Housing,1912,1,90,Whole Building,43,67.9,67.9,2997798.7,878604.4,92970,137.2
1829,64764,Hotel,2007,1,100,Whole Building,47,132.2,135,4815278.4,1444653.9,57200,314.8
1830,53350,Multifamily Housing,1985,1,100,Whole Building,Not Available,60.9,65.7,1245082.3,366274.3,58255,108.6
1832,65680,Other,1950,1,100,Whole Building,Not Available,71.2,71.6,3373583.6,978485.7,57792,196.3
1833,50400,Multifamily Housing,1970,1,100,Whole Building,Not Available,56.6,58.5,910930.5,262181.4,54627,92.7
1834,117291,Office,1912,1,100,Whole Building,89,46.6,45.2,4636725.6,1325922.9,117291,131.3
1836,78274,Multifamily Housing,1911,1,100,Whole Building,95,47.7,52.1,742587.7,217640,70077,72.3
1838,197612,Other,1926,1,100,Whole Building,Not Available,72.6,76.2,7630748,2187217.6,197612,155.7
1839,115925,Multifamily Housing,1912,1,90,Whole Building,23,102.1,102.1,3002288.9,879920.4,115925,158.3
1840,54000,Office,1912,1,100,Whole Building,64,77,79.3,2951240.2,840569.8,55000,192.1
1841,84745,Manufacturing/Industrial Plant,1910,1,100,Whole Building,Not Available,10.8,10.9,119331.3,36197.1,85000,13.9
1842,113129,Office,1910,1,100,Whole Building,81,100.3,108.4,3343459.3,962472.6,118785,161.3
1843,59440,Office,1910,1,95,Whole Building,91,47.3,49.3,1945647.2,564989.6,65000,111.5
1844,123557,Office,1927,1,100,Whole Building,94,77.4,Not Available,2877481,826594.2,111615,133
1845,99833,Multifamily Housing,1925,1,100,Whole Building,23,100.3,107.9,2548132.8,731390,102000,157.5
1846,163650,Office,1921,1,100,Whole Building,67,79.8,81.7,8986617.2,2586658.9,156000,203.3
1848,57906,Office,1913,1,100,Whole Building,85,80.7,80.1,1605111.8,460467.1,56500,142
1849,55392,Office,1913,1,100,Whole Building,81,76.8,79.9,2033581.2,585130.1,56000,154.9
1850,55411,Hotel,2014,1,100,Whole Building,57,104.1,Not Available,3571330.2,1056518.2,55411,244.1
1851,121579,Office,1923,1,100,Whole Building,67,112.7,120.4,5171308.5,1482022.8,127658,200.1
1853,80122,Hotel,2008,1,80,Whole Building,33,102.8,105.9,4340163.7,1291486.7,80454,220.7
1854,115991,Office,1910,1,100,Whole Building,83,47.8,47.8,3723669.1,1091344.8,115991,116.7
1855,82454,Office,1910,1,100,Whole Building,37,88.8,92.9,4569457.8,1339231.3,82454,207.8
1856,58764,Office,1912,1,100,Whole Building,Not Available,56.9,60.6,1714564.6,488309.6,58340,121.1
1857,190325,Other,1928,1,100,Whole Building,Not Available,42.5,44.1,8615432.9,2477892.5,190325,91.1
1858,58292,Office,1912,1,100,Whole Building,Not Available,54.5,55.3,1732602,497952,58292,118.4
1859,70862,Office,1911,1,100,Whole Building,80,63.1,66,3066367.8,898700.9,76767,148.8
1860,85869,Office,1900,1,100,Whole Building,82,66.2,68.9,3215568.9,917574.3,85900,146.6
1863,216841,Other,1926,1,100,Whole Building,Not Available,34.6,35.7,7969945.5,2292485.4,216841,74.1
1864,140247,Multifamily Housing,1929,1,100,Whole Building,Not Available,51.7,55.1,2296287.8,673003.4,111225,97.4
1865,631862,Multifamily Housing,2008,2,100,Whole Building,11,115.1,118.8,29531877.2,8562204.6,476276,250.5
1866,83642,Office,1930,1,100,Whole Building,Not Available,68.9,69.1,3737598.9,1068355.2,85842,162.6
1867,85517,Office,1912,1,100,Whole Building,1,292.9,292.9,18533983.9,5431999.3,85517,757.4
1868,87526,Office,1900,1,100,Whole Building,95,49.2,51.9,2962145.2,868155,105642,110.2
1869,121000,Hotel,2013,1,100,Whole Building,3,75.5,75.6,6090962.4,1734099,124000,182
1870,151525,Multifamily Housing,1912,1,90,Whole Building,Not Available,78.2,78.2,3009772.6,882113.8,151525,121.2
1873,384655,Office,1925,1,100,Whole Building,66,92.4,95.3,24582778.2,7204799.3,384655,230.6
1875,1103075,Office,1923,1,100,Whole Building,78,84.1,83.7,54847537.8,16006308.6,1130275,195.2
1877,214349,Office,1927,1,90,Whole Building,91,56.7,58.5,9234952.6,2643896.7,256540,134.8
1878,102145,Mixed Use Property,1920,1,100,Whole Building,Not Available,150.2,Not Available,5546956.9,Not Available,128000,247.7
1879,579715,Multifamily Housing,2006,1,100,Whole Building,Not Available,66.8,66.2,15103028.4,4314827.7,576457,124.3
1880,422039,Office,2008,1,100,Whole Building,14,67.3,68.7,16006784.3,4591227.6,401085,154.1
1881,1105991,Office,1910,1,100,Whole Building,86,57.9,58.8,50569760.6,14693504.3,1011831,166.4
1882,1213324,Hotel,1918,1,100,Whole Building,66,108.3,107.9,35007695,10094625.7,1412862,177.9
1883,67114,Office,1925,1,100,Whole Building,11,203.7,206.2,8308992.4,2390034.3,55250,533.6
1884,258412,Retail Store,1910,1,100,Whole Building,76,64.6,67.2,12139096.8,3557765.3,272412,164
1885,53115,Office,1903,1,100,Whole Building,68,70.2,74.5,2587789,755630.7,53115,175.6
1886,806417,Office,1954,1,80,Whole Building,84,62,61.8,23373212.4,6850295.9,670212,142.1
1887,177075,Office,1960,1,100,Whole Building,44,118.7,120.8,10087353.2,2912444.3,150554,268.4
1888,2192088,Retail Store,1902,1,100,Whole Building,85,60.9,60.5,126415846.6,36806769.6,2169496,185.8
1889,408511,Office,1925,1,100,Whole Building,90,59.6,64.4,16475609.2,4828724.3,465150,135.6
1891,91777,Office,1913,1,100,Whole Building,93,36.7,35.7,3440623.2,980343.3,94000,115.1
1892,313294,Office,1915,1,100,Whole Building,79,84.1,87,19306100.8,5541641.3,314780,215.7
1893,386786,Office,1925,1,100,Whole Building,88,60,61.9,17467470.3,5033299,368974,163.9
1894,187350,Other,1922,1,100,Whole Building,88,57.5,58.7,7016969.6,2006548.9,185000,139
1895,101203,Office,1945,1,100,Whole Building,84,87.1,86,3619046.3,1027142.1,101203,164.2
1896,51853,Office,1920,1,100,Whole Building,84,63,66.1,1680724.4,481102.6,51800,132.7
1897,228518,Office,1921,1,100,Whole Building,74,73.1,76.3,11991079,3475824.7,235500,182.3
1898,180704,Office,1925,1,100,Whole Building,100,33.7,35.7,6779631.1,1915625.4,360946,74.6
1899,54004,Office,1909,1,100,Whole Building,91,55.1,61,1614961.2,458400.5,57000,116
1900,165000,Office,1911,1,100,Whole Building,91,53.5,57.9,3543566.4,1004642.3,125417,114.2
1901,108214,Office,1923,1,100,Whole Building,92,55,Not Available,3273318.8,946454.6,107209,120.6
1902,397978,Office,1925,1,100,Whole Building,91,83.4,87.3,28433187.2,8154223.8,432310,224.4
1903,76804,Office,1922,1,65,Whole Building,Not Available,3576.6,Not Available,802691,Not Available,77264,4323
1904,95989,Office,1926,1,95,Whole Building,81,56.3,58.6,4072749.7,1158907.1,102325,144.8
1905,234846,Office,1928,1,100,Whole Building,88,63.7,Not Available,12535945.3,Not Available,279374,160
1906,120000,Office,1914,1,100,Whole Building,89,46.9,Not Available,5233039.4,1502726,130000,133.1
1907,93846,Office,1924,1,100,Whole Building,95,38.7,37.8,2868066.3,814971.1,102562,98.6
1908,433330,Office,1928,1,100,Whole Building,74,76.9,80.2,23697516.6,6842283.8,455058,188.7
1909,464951,Office,1927,1,80,Whole Building,Not Available,24541.2,28679.2,19835884,5617896.3,509747,29599.5
1910,479620,Office,1914,1,100,Whole Building,65,79.2,80.5,32015140.3,9257804.5,538969,206.8
1911,241001,Office,1926,1,100,Whole Building,63,79.1,81.9,13172936.3,3786841.6,232351,204.9
1912,204034,Office,1928,1,75,Whole Building,87,58,61.3,6689662.2,1897305.2,202045,134
1913,438643,Office,1926,1,100,Whole Building,89,46.4,45.4,22957408,6587349.7,499340,144.8
1914,102835,Parking,1951,1,100,Whole Building,Not Available,421,427.9,6411393.6,1879071.8,22835,1034
1915,411074,Office,1925,1,100,Whole Building,88,52.2,52.9,19767966,5672360.3,515672,134.5
