ID,buildingArea,PAC,Year Built,Number of Buildings,Occupancy,Metered Areas (Energy),ENERGY STAR Score,Site EUI,Weather Normalized Site EUI (kBtu/ft2),Electricity Use - Grid Purchase (kBtu),Weather Normalized Site Electricity (kWh),Property GFA - Self-Reported (ft2),SourceEUI
7844,91075,Multifamily Housing,1955,1,100,Whole Building,87,60.5,64.1,1005876.7,282161.5,86875,86
7845,77000,Multifamily Housing,1928,1,100,Whole Building,48,82.8,Not Available,1224454.7,344173.1,85470,116.9
7846,88400,Multifamily Housing,1950,1,100,Whole Building,91,52.1,55.6,1066495.7,303049.7,90400,79.4
7848,71652,Multifamily Housing,1956,1,100,Whole Building,57,96.3,Not Available,868910.8,242967.2,59040,128.8
7849,55226,Multifamily Housing,1931,1,100,Whole Building,34,92.4,Not Available,723398.9,206236.1,55226,122.9
7850,65000,Multifamily Housing,1920,1,100,Whole Building,37,96.8,101.8,851491.9,237281,65000,129
7851,67930,Multifamily Housing,1950,1,100,Whole Building,67,83.1,88.6,882507.3,248060.6,61708,117.1
7852,53600,Multifamily Housing,1931,1,100,Whole Building,94,66.1,70.1,553603.8,154562.2,56300,87.8
7853,72110,Multifamily Housing,1923,1,100,Whole Building,81,69,72.7,1166488.2,332086.4,84132,101.4
7854,81315,Multifamily Housing,1973,1,100,Whole Building,55,87,Not Available,1268658.3,358312.9,89915,118.1
7855,60587,Multifamily Housing,1922,1,100,Whole Building,74,70,69.7,781231,222711.7,60587,100.5
7856,61000,Multifamily Housing,1925,1,100,Whole Building,36,97.8,103.2,1128506.2,321979.5,71169,135.8
7857,81730,Multifamily Housing,1966,1,100,Whole Building,52,89.5,95.6,1110908.9,313859.2,81735,119.6
7858,63000,Multifamily Housing,1937,1,100,Whole Building,79,68.6,73.3,977556.7,276821.3,69300,101.5
7859,67757,Multifamily Housing,1941,1,100,Whole Building,70,85.8,90.8,825625.5,232462.8,71145,114.3
7860,54900,Multifamily Housing,1930,1,100,Whole Building,78,86.3,92.3,716731.5,200972.3,54900,115.2
7861,63024,Multifamily Housing,1937,1,100,Whole Building,97,51.9,56.1,676872.6,189287.3,73528,73.8
7862,66660,Multifamily Housing,1954,1,100,Whole Building,60,81.4,85.6,825941,236081.5,66600,111.4
7863,59520,K-12 School,1931,3,100,Whole Building,77,77.1,82.8,933796.1,277951.2,59520,112.1
7864,72486,Multifamily Housing,2009,1,100,Whole Building,85,62.6,67.5,1116840.4,316890.2,72486,98
7865,69960,Multifamily Housing,1931,1,100,Whole Building,60,83.8,89.5,1220311.9,351476.4,69960,124.5
7866,72486,Multifamily Housing,2009,1,100,Whole Building,80,65.3,69.8,1224551.7,348566.2,72486,103.8
7867,100875,Multifamily Housing,1927,1,100,Whole Building,77,77.8,82.2,1351366.6,384713.3,100875,109.7
7868,54835,Multifamily Housing,1926,1,100,Whole Building,87,62.7,66.8,745241.2,218417.7,63974,90.1
7869,52000,Multifamily Housing,1930,1,100,Whole Building,82,74.3,Not Available,651651.7,185008.4,57620,99.3
7870,63564,Multifamily Housing,1940,1,100,Whole Building,34,139.8,152.8,154519.2,45287,50000,147.7
7872,76479,Multifamily Housing,1941,1,100,Whole Building,35,95,98.6,1706443.5,500129.9,89225,137.4
7873,66780,Multifamily Housing,1953,1,100,Whole Building,24,99.8,107,1161543.7,330653.9,66780,141.1
7874,62000,Multifamily Housing,1921,1,100,Whole Building,39,86.7,89.8,1574675.6,450059.1,65100,140.4
7875,58700,Multifamily Housing,1922,1,100,Whole Building,95,62,Not Available,696810.6,196885,70440,84.3
7876,60060,Multifamily Housing,1940,1,100,Whole Building,18,129.7,Not Available,799179.1,Not Available,61115,159
7878,68340,Multifamily Housing,1948,1,100,Whole Building,84,68.2,73.6,802573.5,222835.6,68340,94
7879,51060,Multifamily Housing,1955,1,100,Whole Building,43,106.8,Not Available,738422.5,211477.5,59570,134.6
7880,73500,Multifamily Housing,1948,1,100,Whole Building,64,82.1,87.4,858611.2,245287.3,71100,108.8
7881,74500,Multifamily Housing,1954,1,100,Whole Building,55,81.8,84.9,1128437.4,319738.5,73700,115.5
7882,59085,Multifamily Housing,1955,1,100,Whole Building,20,65.5,67.1,2199498,636070.8,59085,146.6
7883,93600,Multifamily Housing,1940,1,100,Whole Building,36,92.4,97.4,1442967.6,413494.7,93600,126.4
