ID,PublicORResidential,city,principleActivity,ClimateZone,BuildingArea,numFloorAbove,numFloorBelow,WWR_South,WWR_North,WWR_East,WWR_West,ExWindowHTC_East,ExWindowHTC_West,ExWindowHTC_South,ExWindowHTC_North,SC_East,SC_West,SC_South,SC_North,RoofHTC,ExWallHTC,OverheadFloorHTC,FloorHTCOuter,exWinAirtightness,HeatingLoad,CoolingLoad
2061,0,taizhou,3,3,4841.13,3,3,0.38,0.2,0.08,0.22,3.3,3.3,3.3,3.3,0.74,0.8,0.85,0.85,0.621,0.736,0.266,0.266,6,21.08,53.35
2070,1,suzhou,7,3,588.22,6,6,0.41,0.33,0.89,0.62,2.7,2.7,2.7,2.7,0.52,0.52,0.52,0.52,0.47,0.49,0.5,,6,18.22,37.51
2071,1,suzhou,7,3,1074.45,1,1,0.46,0.4,0.68,0.55,2.4,2.4,2.4,2.4,0.62,0.62,0.62,0.62,0.46,0.68,0.74,0.55,6,21.36,16.75
2080,0,suzhou,4,3,69477.79,4,8,0.11,0.44,0.48,0.58,1.15,1.15,1.15,1.15,0.72,0.72,0.72,0.72,0.44,0.72,2,0.48,3,7.55,7.55
2081,0,suzhou,3,3,65984,21,3,0.85,0.81,0.63,0.82,2.4,2.4,2.4,2.4,0.81,0.4,0.4,0.4,0.59,0.58,0.57,0.4,1,31.95,69.44
2090,0,suzhou,3,3,33093.39,2,2,0.77,0.76,0.79,0.4,3.1,3.1,3.1,3.1,0.53,0.53,0.53,0.53,0.53,1.1,0.701,0.79,3,67.45,155.79
2091,0,nanjing,3,3,37825.45,1,1,0.57,0.74,0.03,0.03,2.1,2.1,2.1,2.1,0.58,0.58,0.58,0.58,0.68,0.83,0.79,0.25,4,131.86,158.68
21,1,lianyungang,7,2,3134.36,6,6,0.13,0.34,0.07,0.3,2.5,2.5,2.5,2.5,0.84,0.84,0.84,0.84,2,2.3,1.8,0.5,4,27.26,28.66
210,0,taizhou,3,3,68266,20,0,0.38,0.34,0.03,0.03,2.5,2.5,2.5,2.5,0.42,0.43,0.42,0.42,0.52,0.89,0.93,0.95,4,61.69,71.2
2100,1,suzhou,7,3,1044.82,6,6,0.37,0.3,0.04,0.05,2.67,2.67,2.67,2.67,0.5,0.5,0.5,0.5,0.47,0.49,0.49,,6,13.52,21.92
2101,1,nantong,7,3,5383.28,10,1,0.07,0.4,0.04,0.27,2.7,2.4,2.7,2.7,0.62,0.62,0.62,0.62,2.02,1,0.94,0.07,6,24.89,36.27
211,1,wuxi,7,3,24584,32,2,0.01,0.01,0.44,0.61,2.4,2.4,2.4,2.4,0.43,0.43,0.43,0.43,0.43,0.6,0.6,0.6,6,13.2,38.4
2110,1,lianyungang,7,2,7195,6,6,0.1,0.37,0.1,0.19,3,3,3,3,0.65,0.65,0.65,0.65,0.481,1.03,1.26,0.853,6,36.92,28.28
2111,0,suzhou,3,3,40667.91,2,0,0.31,0.21,0.18,0.02,2,2,2,2,0.35,0.35,0.35,0.35,0.33,0.34,0.31,2,1,99.8,108.49
2120,1,changzhou,7,3,17359,33,4,0.09,0.09,0.37,0.31,2,2,2,2,0.6,0.6,0.6,0.6,0.51,0.62,1.9,1.9,6,12.15,14.35
2121,0,xuzhou,2,2,38847.96,4,1,0.21,0.16,0.34,0.32,1.5,1.5,1.5,1.5,0.32,0.32,0.32,0.32,0.434,0.496,0.496,0.85,3,118.41,133.86
2130,1,lianyungang,7,2,3049.27,6,0,0.05,0.05,0.35,0.27,3,3,3,3,0.86,0.86,0.86,0.86,0.53,0.78,0.98,1.01,6,17.54,23.26
2131,0,suzhou,3,3,10557.98,3,1,0.29,0.46,0.16,0.3,2.5,2.5,2.5,2.5,0.47,0.47,0.47,0.47,0.46,1.1,,,4,84.2,70.86
2140,1,yangzhou,7,3,19428.61,18,8,0.14,0.37,0.13,0.22,3,2.8,3,3.2,0.66,0.62,0.66,0.81,0.38,0.56,0.85,0.95,6,6.2,12.32
2141,0,nanjing,5,3,44775,13,0,0.21,0.18,0.21,0.19,2.6,2.6,2.6,2.6,0.4,0.4,0.4,0.4,0.585,0.674,0.585,0.585,6,14.81,45.11
2150,0,suzhou,1,3,32821.1,13,1,0.43,0.41,0.3,0.37,2.4,2.4,2.4,2.4,0.41,0.41,0.41,0.41,0.49,0.56,2.2,2.2,6,52.56,45.54
2160,0,nanjing,3,3,59740.98,22,0,0.3,0.3,0.3,0.29,1.63,1.63,1.63,1.63,0.34,0.34,0.33,0.34,0.57,0.57,0.77,0.25,1,87.48,95.76
2161,1,taizhou,7,3,6210.2,6,6,0.03,0.03,0.27,0.24,2.9,2.9,2.9,2.9,0.86,0.86,0.86,0.86,0.7,0.7,1.03,1,6,2.4,6.05
2170,0,suzhou,1,3,29833,18,8,0.07,0.34,0.09,0.22,2.46,2.46,2.46,2.46,0.43,0.43,0.43,0.43,0.57,0.57,1.19,0.514,6,13.55,9.18
2171,1,xuzhou,7,2,5140.1,2,2,0.18,0.15,0.07,0.08,1.491,1.491,1.491,1.491,0.18,0.18,0.18,0.18,0.0387,0.0387,0.45,0.8,3,38.92,0
2180,1,huaian,7,3,3091.03,2,6,0.25,0.26,0.18,0.18,3,3,3,3,0.81,0.81,0.81,0.81,0.53,0.85,0.44,2.25,4,21.18,31.98
2181,0,suzhou,1,3,75723.66,4,0,0.65,0.28,0.45,0.33,2,2,2,2,0.28,0.28,0.28,0.28,0.64,0.64,0.6,1.29,3,73.2,127.05
2190,1,wuxi,7,3,2946,6,6,0.06,0.29,0.07,0.24,2.8,2.8,2.8,2.8,0.56,0.62,0.54,0.61,0.942,1.96,0.942,1.96,4,16.18,13.29
2191,1,yancheng,7,3,9121.1,2,2,0.32,0.22,0.08,0.09,2.1,2.1,2.1,2.1,0.25,0.25,0.25,0.25,0.51,0.74,2.5,0.95,6,17.29,39.09
220,1,wuxi,7,3,3577,6,6,0.01,0.31,0.01,0.22,2.3,2.3,2.3,2.3,0.65,0.65,0.65,0.65,0.62,0.9,0.62,0.62,4,16.4,12.21
2200,0,huaian,5,3,3526.69,4,7,0.16,0.46,0.07,0.4,2.4,2.4,2.4,2.4,0.42,0.42,0.42,0.42,0.58,0.93,0.69,0.69,4,39.88,66.72
2201,1,nanjing,7,3,12425,27,1,0.1,0.26,0.11,0.05,1.8,1.8,1.8,1.8,0.35,0.76,0.35,0.39,0.714,0.86,0.86,0.241,6,19.45,16.85
221,1,xuzhou,7,2,12417,16,2,0.06,0.33,0.01,0.21,2.2,2.2,2.2,2.2,0.54,0.54,0.54,0.54,0.53,0.74,0.66,0.83,6,14.92,34.2
2210,1,suzhou,7,3,408.9,6,6,0.06,0.32,0.02,0.18,3.2,3.2,3.2,3.2,0.32,0.84,0.84,0.84,0.43,0.69,2,0.06,4,13.05,13.05
2211,1,suzhou,7,3,3466,5,5,0.07,0.19,0.33,0.21,3.1,3.1,3.1,3.1,0.83,0.83,0.83,0.83,0.597,0.879,,,6,15.5,11.91
2220,0,nanjing,3,3,45796,9,5,0.32,0.32,2.402,2.402,2.402,2.402,2.402,2.402,0.32,0.32,0.32,0.32,0.5,0.305,0.59,0.40021397,4,30.78,32.97
